GE_DE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,DE_GE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
67,-35.75180054,-48.06131744,-29.60746002,-50.9024086,-44.33079529,-46.62622452,-17.33787346,-31.15683937,67,-36.99539566,-60.22481918,-54.94923782,1.988370776
68,-32.10464859,-43.46048737,-29.8223896,-50.93109894,-39.83952713,-41.0627327,-16.39908409,-34.11782837,68,-37.19511795,-52.20674515,-19.59723663,13.22577858
69,-32.08112335,-44.14746094,-30.36162186,-51.02815628,-40.5254364,-40.9404068,-55.03992081,-14.80077744,69,-37.9214859,-52.31575012,-57.42763901,-1.924289227
70,-32.84135437,-44.50910568,-30.17343521,-51.01159286,-40.67805481,-41.8415947,-49.68009949,-3.897568703,70,-38.64732742,-53.02980042,-58.88579941,-9.341114044
71,-31.64163399,-43.72050095,-30.17345428,-51.01157761,-40.12771988,-40.47212601,-52.42830276,-10.94406509,71,-37.68929291,-52.31138229,-57.5233345,-4.623747349
72,-33.14334869,-48.40338135,-29.8876915,-50.81669998,-45.80683899,-43.84117889,-54.38138199,1.879011989,72,-41.32116318,-54.60829163,-61.7936821,-10.13351536
73,-37.41269684,-47.9345932,-30.01764679,-50.87002182,-43.7332077,-49.32331848,-43.62207413,-0.619494379,73,-34.65404129,-60.58271027,-41.23506927,-0.256366521
74,-46.69734192,-50.26383972,-30.28522491,-50.66226196,-43.76931763,-58.22305298,-41.77371979,-6.435742855,74,-33.8368187,-70.37986755,-45.97907257,1.180894136
75,-34.56753159,-48.88745499,-29.71986961,-50.4368782,-45.59449005,-45.5162468,-42.00463486,0.648560524,75,-39.90818024,-58.34454727,-39.0268364,-0.522530377
76,-33.43380356,-48.35132217,-27.44817734,-48.38412857,-45.70568848,-44.0592308,-44.89426041,7.11917305,76,-41.50718307,-55.42481995,-39.19751358,-4.750413418
77,-36.47052002,-46.79370117,-27.37421036,-48.29573822,-42.64811325,-47.12848282,-51.82553864,-0.949529707,77,-37.37835693,-58.87129593,-59.71289825,-9.894694328
78,-46.3408699,-49.77231979,-27.31294823,-48.22171021,-43.43062592,-57.93994904,-55.99783325,-12.8449831,78,-33.79516602,-70.30857086,-58.45246506,-3.078629494
79,-45.62741089,-49.44063568,-27.33094788,-48.24664688,-43.38434982,-57.31361008,-51.80316544,-0.819870412,79,-33.8379097,-70.2822113,-59.71437073,-10.14084721
80,-44.5737648,-48.42504883,-27.23229599,-48.04252243,-42.79094696,-56.28320313,-45.00087738,3.612742662,80,-34.38392258,-67.63146973,-39.0123024,-3.198882341
81,-44.77746964,-48.36354446,-27.23229218,-48.04252243,-42.68193817,-56.58138275,-48.11100006,11.87333965,81,-33.76574707,-67.81742096,-40.10527039,-4.356958866
82,-35.05753326,-44.53861618,-27.08327675,-47.87083435,-40.16464615,-44.71671295,-48.29530334,12.46278,82,-35.28649521,-55.9583168,-40.21768951,-4.366538525
83,-37.57886887,-37.96463394,-27.05462456,-47.78458786,-33.56620026,-47.80748749,-44.65154648,3.135490656,83,-32.01874161,-59.39618683,-39.06068039,-2.865999699
84,-37.81086731,-37.62851715,-27.08184052,-47.6402359,-33.00371552,-47.8088913,-39.46387863,-6.106167316,84,-28.50761414,-54.37139511,-45.54363632,0.465177029
85,-37.74362946,-37.5419426,-34.62048721,-41.99014282,-32.95298386,-47.70754242,-40.96733475,-6.602146626,85,-28.50962448,-54.59928894,-45.06153107,0.639329374
86,-44.2562294,-46.91249847,-35.53963852,-42.27657318,-41.10560608,-54.84391022,-49.38099289,-4.321567535,86,-33.55639648,-65.83809662,-58.56343079,-9.47896862
87,-46.03490067,-48.53380585,-35.37064743,-42.15995789,-42.15459061,-57.71905518,-54.88150024,-8.293509483,87,-33.31829453,-68.88867188,-59.05980682,-5.937226295
88,-37.08390427,-47.35081863,-35.75196457,-42.25355911,-43.19076538,-48.28294754,-54.97483063,-0.973418832,88,-37.45029831,-59.34482193,-60.63610458,-8.710421562
89,-34.1639595,-45.87997055,-35.71878433,-42.01132965,-42.13742065,-44.4255867,-55.80304718,1.963846922,89,-36.34260178,-58.38109207,-62.44730377,-9.539700508
90,-35.14487457,-44.60521698,-36.17761993,-41.82265472,-40.25760651,-44.72780991,-56.64588547,7.040577888,90,-36.37159729,-55.96550369,-64.30539703,-9.23071003
91,-32.93309021,-44.57824707,-36.04845047,-41.73606491,-40.64994431,-41.96886444,-48.28675079,11.14092255,91,-37.11139679,-55.00954819,-40.07677841,-4.368919373
92,-29.50527763,-45.06731415,-36.44173431,-41.29044724,-40.52035522,-37.44769669,-52.9289856,-0.067857347,92,-40.45026398,-52.73212433,-60.13593292,-9.722014427
93,-32.67786407,-44.86707306,-36.46173477,-41.28540039,-40.97513199,-41.78458023,-44.38859177,-18.48552513,93,-40.21845245,-53.51029587,-54.07009506,2.002369165
94,-36.75662994,-47.48109055,-36.47867203,-41.24545288,-43.37029648,-47.79656601,-45.06997681,-13.76816177,94,-37.04560852,-58.50409698,-51.47331238,-0.466930032
95,-37.14693451,-47.25659561,-31.84978676,-37.20850372,-43.09830093,-48.35616302,-56.78653717,-12.6174984,95,-35.4288826,-60.02136612,-59.15207291,-3.042778015
96,-48.56470871,-48.50145721,-31.91195107,-37.36270905,-41.94695282,-61.622509,-53.02060699,-10.64580345,96,-32.50583267,-69.758255,-57.90883636,-4.919382572
97,-49.51951599,-48.21123123,-36.59791946,-40.93162155,-40.78069687,-62.9618187,-53.88945007,-7.456008911,97,-31.4120369,-71.05355835,-59.16818619,-6.52677393
98,-54.34051895,-51.98028564,-38.24868774,-37.92129517,-41.0846138,-70.82073212,-50.04524231,-4.673556805,98,-30.50641632,-77.58326721,-58.94098663,-9.196151733
99,-54.67563629,-52.02703094,-38.08123398,-37.08747482,-40.95056152,-71.12447357,-56.28093338,-12.81763077,99,-30.28720093,-76.52778625,-58.66614532,-3.045443535
100,-49.39375305,-48.29779053,-38.36211395,-38.02910614,-40.97257233,-62.86263275,-50.2797966,-6.289730549,100,-31.01328659,-70.39891815,-58.38446426,-8.287193298
101,-49.41625595,-48.06518936,-31.17121696,-12.59836769,-40.83571625,-62.75623322,-52.6329155,-15.00034618,101,-31.16855431,-70.32624054,-55.86923218,-1.833193183
102,-32.51913452,-46.28511047,-30.93653107,-12.08387756,-43.37747574,-42.22369766,-50.81858826,-5.67717123,102,-39.55656052,-55.47776031,-59.27105713,-8.468859673
103,-36.95637131,-47.18406677,-30.93653107,-12.08387756,-43.06861877,-47.88955307,-49.14624023,-4.708313465,103,-38.06647491,-58.7740593,-58.26699829,-9.406669617
104,-30.38760757,-42.57525635,-30.85633469,-11.94889736,-39.0521431,-39.53316116,-42.94772339,-14.12689304,104,-39.0998764,-51.95510483,-50.81038284,0.397809237
105,-25.62630463,-41.51162338,-30.82186127,-11.92948723,-38.53969574,-35.14253616,-43.93571472,-16.07085991,105,-37.48772049,-44.72810364,-52.47846985,0.986311376
106,-25.10450554,-41.23297501,-30.96682358,-12.27878952,-38.14001846,-34.57645035,-43.97947693,-16.10067177,106,-37.06719208,-44.71681213,-52.43135071,0.914897501
107,-55.68296432,-51.51484299,-30.92090416,-12.28834248,-39.9184494,-71.7063446,-42.77879715,-14.37102318,107,-29.76410103,-77.21959686,-50.96743393,0.581077099
108,-54.22983551,-48.9605751,-42.61112595,-22.83875465,-38.66559982,-68.84250641,-44.37969208,-14.8258028,108,-27.42272568,-78.20606995,-52.20426941,0.187653214
109,-55.39709091,-46.67401886,-43.8125267,-22.50931168,-28.22001266,-64.97888184,-51.31934357,0.563553691,109,-24.56585312,-77.0904007,-59.29312134,-10.31407833
110,-46.69760513,-46.13786316,-43.78264999,-22.52545357,-39.21048355,-57.47153854,-54.35557938,-15.61056709,110,-30.27522469,-66.6368866,-56.7040062,-1.390103698
111,-46.45825195,-46.2023201,-43.82512665,-22.49901009,-39.39819336,-57.20790482,-16.25964165,-33.65631104,111,-32.81917191,-66.15918732,-19.10456276,12.77595806
112,-49.44076157,-47.82650375,-71.84082794,-3.243757963,-40.54182434,-62.71129227,-16.6799202,-29.17847443,112,-31.33153343,-68.15059662,-18.55384827,10.29972553
113,-25.96012497,-40.56542587,-71.84082794,-3.243757963,-37.41989517,-35.06342697,-44.99202728,-15.32182407,113,-36.24842072,-45.51570892,-52.37738037,-0.287743062
114,-26.92004395,-40.64457703,-82.38401794,1.09191525,-37.36404419,-36.00941467,-57.73056793,-0.823981822,114,-35.14365768,-45.71032715,-62.65458298,-7.139087677
115,-26.08501625,-40.71548462,-83.02108765,1.20536077,-37.58791351,-35.23833084,-50.20915222,-12.03914165,115,-36.14151382,-44.94716263,-55.50470352,-4.745951176
116,-27.56710052,-40.78955078,-81.53405762,0.641803145,-37.43527222,-36.62783432,-11.11593056,-29.97247314,116,-35.08850479,-46.05467224,-19.29511642,7.413510323
117,-25.34844589,-39.06388474,-81.34660339,0.502814174,-35.96212387,-34.20540619,-10.25339603,-30.17851067,117,-35.08837891,-44.43317795,-18.33139801,7.651021481
118,-26.21598053,-38.56526947,-80.80254364,0.220486119,-35.30813599,-35.17713547,-9.919514656,-30.32481575,118,-33.73284912,-45.27701187,-17.90686989,7.796977043
119,-25.73043633,-38.0761795,-72.17986298,-3.318655968,-34.87247086,-34.57785416,-6.217876434,-29.35828781,119,-33.12075806,-44.11068726,-14.39131355,6.336458206
120,-25.68979836,-37.67264557,-72.58515167,-5.490553856,-34.40009689,-34.501194,-6.382888317,-29.06452751,120,-33.30115891,-44.05391693,-14.5185051,6.003955364
121,-55.33322525,-52.55784607,-65.85198212,-14.73823929,-41.00051117,-72.03916931,-21.58855057,-14.49694347,121,-30.75847435,-79.302742,-22.83434868,1.114534259
122,-54.24192429,-52.48265457,-65.36390686,-14.71510792,-41.52225113,-71.07453918,-22.95080376,-15.50596714,122,-31.78054047,-79.89104462,-23.95681953,1.63511765
123,-50.16796112,-51.66988754,-51.06490707,-0.931762397,-43.14680862,-65.81640625,-24.92025757,-18.28199577,123,-35.2209816,-75.02671051,-23.32413673,4.101893902
124,-49.47377777,-51.39757538,-51.06501007,-0.931755245,-43.47780609,-65.05232239,-12.88045597,-34.08372879,124,-35.61961365,-74.66109467,-17.99564171,13.41759205
125,-25.59939194,-38.21609497,-51.3520546,-0.338412791,-35.03340149,-34.39562607,-12.23977184,-34.25569916,125,-33.57564545,-44.45631027,-17.74921417,13.30757904
126,-25.72003555,-37.77668762,-81.58562469,0.326350123,-34.5109024,-34.55378723,-8.784776688,-30.61361694,126,-33.3246727,-44.07130814,-16.85823441,7.507108212
127,-26.84657288,-31.11705017,-81.70890045,0.488136709,-31.35841942,-35.8812027,-7.766244411,-30.14165306,127,-30.09018135,-45.05534363,-16.05208588,7.261820793
128,-26.75743866,-31.45559883,-49.26450348,-0.55627948,-31.70397377,-35.95967865,-6.657755375,-29.96911049,128,-31.34262848,-46.39588928,-15.06623268,6.932258606
129,-26.7121315,-31.75385666,-31.86832809,-16.54972839,-31.98642349,-36.12290955,-5.271968842,-27.82821465,129,-31.50499916,-46.23390961,-13.593503,5.251003742
130,-27.07303429,-31.12155724,-29.52272224,-10.68083096,-31.30500793,-36.26330948,-5.820867538,-29.92002296,130,-30.95440292,-46.13168716,-14.39885426,6.698144436
