GE_GL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,GL_GE,F_source_embedded,,F_target_embedded,
147,-34.64422226,-77.19290924,17.92315865,-7.620750904,-43.40422058,-56.68845367,16.12709618,-64.09376526,147,-56.05425262,-47.02117538,-9.565464973,-76.73540497
148,-34.48873901,-77.39186096,18.07447815,-7.681657314,-44.07001877,-56.73724365,9.862935066,-68.6776886,148,-52.36923981,-50.27029419,-9.495380402,-76.71987915
149,-10.71830177,-61.01182556,-0.145052761,16.58867836,-52.65727234,56.12334442,-40.69060516,5.101748466,149,28.61133385,24.95264435,-8.610050201,39.76865387
150,-6.740163326,-53.6829567,-3.529507637,21.86747742,-40.10883331,-13.66085148,-26.90919876,-13.13851738,150,34.12311935,28.11321068,34.16341019,25.16980743
151,-6.554849625,-53.46881104,-3.4180336,24.76750946,-20.73586464,-7.379807949,-12.4202652,-11.1866188,151,35.62744141,31.15726471,28.74059868,24.81445694
152,-6.233507156,-53.71222305,-4.404727459,27.22772598,-17.07426071,-39.91832352,16.41441727,-36.59002304,152,41.81904984,37.5443306,34.36258316,26.03093719
153,-4.44869566,-55.33918762,-5.187341213,21.2700901,18.31921768,-37.34643936,4.567191124,-44.30643845,153,37.55178833,31.89077568,40.92887115,24.92922783
154,-34.72885895,-77.00498962,17.29668999,-8.389326096,-50.03005981,-58.58244705,1.666361094,-70.32044983,154,-42.71911621,-58.17726517,3.337568521,-71.98435974
155,-34.24869537,-77.25653839,17.3468132,-8.266845703,-41.1518898,-58.38828278,9.613314629,-67.70103455,155,-48.53320694,-53.91444778,-7.904392719,-76.50261688
156,-34.55497742,-77.32522583,22.72626305,-9.905100822,-45.61325073,-55.75064468,-10.33557129,-67.85851288,156,-32.09493256,-69.09337616,-0.01904992,-75.17890167
157,-35.46842957,-77.46073914,20.28424454,-7.469423294,-56.61888885,-49.97016144,11.85653114,-66.88123322,157,-50.96380234,-53.96660233,7.480261803,-68.59021759
158,-35.14986038,-77.49681091,18.28138542,-7.150738239,-56.02587509,-52.18596649,8.983642578,-68.48044586,158,-49.18070602,-54.09492111,7.284512043,-68.8730011
159,-34.32152939,-77.37282562,18.13927078,-7.571249962,-43.39751434,-57.54415131,4.008553982,-69.38664246,159,-48.55541229,-54.0737648,-0.171079427,-75.15231323
