BE_BL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BL_BE,F_source_embedded,,F_target_embedded,
144,-44.96209717,-77.19946289,31.82774353,67.65248871,24.27228737,-10.25717354,54.21335983,7.327896118,144,28.41101074,-72.54399109,4.159815788,-79.68144226
145,-49.23645782,-75.00687408,38.24979401,60.37738419,28.1360321,-11.36997509,44.21671295,-7.536620617,145,29.2729454,-81.68566132,8.471884727,-70.89617157
146,-43.77183914,-79.36646271,38.4351387,58.66518021,35.55873871,-6.536418915,36.12095261,-9.091751099,146,27.61808968,-81.98535156,16.01322365,-69.56956482
147,-44.35809708,-78.47486115,38.56108475,58.99533463,27.23282242,-10.58049297,43.80661011,-7.812203407,147,29.2198658,-82.25717163,12.01379871,-69.11923218
148,-27.68743324,-74.66989136,28.29443169,66.09836578,9.183029175,3.637897253,51.16828918,2.208446741,148,25.20563316,-67.51919556,25.93811035,-49.37237549
149,-44.4960022,-78.54764557,37.92380905,59.65348053,24.24166298,-9.482221603,45.01721191,-7.340202332,149,26.83281708,-79.94390106,3.859135151,-79.52944183
150,-47.00619888,-76.33088684,37.11294174,62.13644791,19.73471832,-13.75786495,45.74907684,-7.029848576,150,29.5841465,-81.51313019,10.38029575,-69.0450592
151,-47.45009613,-75.01605225,32.60261917,65.00187683,21.07912445,-12.76058865,44.54273605,-2.386481285,151,27.68803215,-75.22819519,7.612920284,-71.80722046
152,-48.18953323,-72.0317688,34.10914993,63.30447388,18.0032692,-14.33378124,35.20478058,-6.722326756,152,26.32874489,-76.84959412,6.138046741,-70.9384613
153,-44.54645538,-78.34328461,37.88646698,59.7144165,22.27429199,-10.8346138,44.15433502,-7.444609642,153,26.40800095,-79.67241669,5.780076027,-74.99541473
154,-46.48492813,-76.02050018,38.66059494,57.08452988,-27.80896759,-2.561885118,40.15847778,-8.728848457,154,27.05112839,-81.58683777,10.26769924,-68.20697784
155,-33.94138718,-71.1791153,32.42795563,69.22727203,-25.10321999,-0.835541904,47.3736496,-0.146340594,155,26.5281601,-67.82528687,-2.051968575,-83.2974472
156,-47.29177856,-70.75947571,24.37416077,54.35795593,-26.5471344,-2.021410227,18.21206284,-14.19072437,156,21.47827148,-74.06739044,0.933376491,-84.92149353
157,-33.48812103,-70.38593292,28.93251991,65.27913666,32.68452835,-4.794372559,29.5775547,-2.131019592,157,25.2013092,-68.42832947,0.562137127,-80.13480377
158,-56.36690903,-70.21659088,38.88705063,53.3600502,-43.70824051,-16.86556435,-34.65113449,-3.246001482,158,20.88432693,-81.60444641,3.387772322,-59.38008499
159,-47.30430603,-76.22925568,37.20499039,61.84656143,36.22911072,-7.927199364,40.79838181,-8.165765762,159,29.03084183,-81.42224884,13.45030308,-68.66101837
160,-55.20941925,-70.73706055,38.69568634,55.21580124,-40.53560257,-11.06907749,-28.88707733,-3.516755104,160,22.38870239,-81.68335724,4.727171421,-61.50035858
161,-47.0173912,-72.15161133,31.44979858,63.76504135,17.51175117,-14.13595009,41.12380219,-2.918177366,161,23.72441483,-73.91282654,2.808683395,-82.74251556
162,-47.38420105,-76.00153351,37.29498291,61.76773453,26.11225128,-12.21305656,45.38212204,-7.26903677,162,29.93134117,-82.1940918,12.42623234,-68.57280731
163,-45.53802872,-73.61785889,31.88036537,64.096138,-25.38816643,-1.927848697,42.04865646,-3.024031878,163,25.45859909,-74.81242371,3.07326293,-81.73384094
164,-48.18953323,-72.0317688,34.10913467,63.30446243,18.0032692,-14.33378124,35.20475769,-6.722330093,164,26.32870674,-76.84958649,6.138046741,-70.9384613
165,-54.35160065,-71.10275269,38.52575684,57.10307693,-40.89583588,-11.24840164,23.9135952,-13.61940861,165,23.66583252,-80.93014526,4.862543106,-61.74476624
166,-46.28271484,-71.89813232,24.28180122,57.49523926,-26.89660263,-1.902968884,37.90264893,-3.678292513,166,21.78749657,-73.04817963,3.095838547,-82.4854126
167,-46.26966858,-73.64965057,31.94612503,64.78656769,20.12542534,-12.43155861,40.39319611,-2.168534517,167,26.43996429,-74.048172,4.025883675,-80.47062683
168,-54.03948975,-71.24794769,39.29198074,55.16260147,-29.85667419,-3.235097647,34.86413193,-9.857390404,168,24.14012146,-81.82746124,5.354946136,-62.58540344
